path	responsibility	producer	consumer	maintainability_dry_naming	dependencies_contracts	errors_operations	performance_security_generality	docs_tests	decision	evidence
.env.example	비밀 없는 환경 template	maintainer/build/operator	Catalog runtime·개발자·운영자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	README·Docker·환경·dependency가 app.main과 8404 Data Fabric 계약에 일치	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	fixed	현재 실행 경로와 소비자 검색으로 보존·수정 판정
.gitignore	저장소 ignore 정책	maintainer/build/operator	Catalog runtime·개발자·운영자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	README·Docker·환경·dependency가 app.main과 8404 Data Fabric 계약에 일치	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	현재 실행 경로와 소비자 검색으로 보존·수정 판정
.specify/extensions.yml	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/extensions/.registry	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/extensions/agent-context/README.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/extensions/agent-context/agent-context-config.yml	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/extensions/agent-context/commands/speckit.agent-context.update.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/extensions/agent-context/extension.yml	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/extensions/agent-context/scripts/bash/update-agent-context.sh	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/extensions/agent-context/scripts/powershell/update-agent-context.ps1	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/feature.json	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/init-options.json	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/integration.json	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/integrations/claude.manifest.json	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/integrations/speckit.manifest.json	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/memory/constitution.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/scripts/powershell/check-prerequisites.ps1	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/scripts/powershell/common.ps1	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/scripts/powershell/create-new-feature.ps1	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/scripts/powershell/setup-plan.ps1	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/scripts/powershell/setup-tasks.ps1	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/templates/checklist-template.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/templates/constitution-template.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/templates/plan-template.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/templates/spec-template.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/templates/tasks-template.md	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/workflows/speckit/workflow.yml	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
.specify/workflows/workflow-registry.json	SpecKit 도구·template·integration 설정	SpecKit	SDD 작업자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	제품 runtime import/배포 경로에 포함되지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	서비스 runtime과 분리된 표준 도구 자산
CLAUDE.md	현재 SpecKit 계획 포인터	maintainer/build/operator	Catalog runtime·개발자·운영자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	README·Docker·환경·dependency가 app.main과 8404 Data Fabric 계약에 일치	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	fixed	현재 실행 경로와 소비자 검색으로 보존·수정 판정
Dockerfile	Catalog container 진입점	maintainer/build/operator	Catalog runtime·개발자·운영자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	README·Docker·환경·dependency가 app.main과 8404 Data Fabric 계약에 일치	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	fixed	현재 실행 경로와 소비자 검색으로 보존·수정 판정
README.md	현재 책임·구조·실행·검증 runbook	maintainer/build/operator	Catalog runtime·개발자·운영자	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	README·Docker·환경·dependency가 app.main과 8404 Data Fabric 계약에 일치	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	fixed	현재 실행 경로와 소비자 검색으로 보존·수정 판정
analyzer/__init__.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
analyzer/strategy/__init__.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
analyzer/strategy/dbms/__init__.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
analyzer/strategy/dbms/linking/__init__.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
analyzer/strategy/dbms/linking/lineage_analyzer.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
api/__init__.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
api/catalog_router.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
api/request_models.py	삭제된 기술 계층·잘못된 소유 이름 또는 내부 deploy 경로	기존 Catalog 구조	새 app 책임 package 또는 외부 deploy 저장소	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	공개 HTTP·그래프 계약은 새 경로로 이동하고 호환 복제본은 남기지 않음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	deleted	git mv/삭제 후 old import와 런타임 소비자 검색 0
app/__init__.py	Python package marker	Python import system	인접 runtime/test module	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	패키지 경계만 선언하며 역방향 의존 없음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	빈 marker이며 별도 책임·중복 로직 없음
app/external/__init__.py	Python package marker	Python import system	인접 runtime/test module	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	패키지 경계만 선언하며 역방향 의존 없음	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	no-violation	빈 marker이며 별도 책임·중복 로직 없음
app/external/data_fabric_client.py	Data Fabric·embedding 외부 adapter	Catalog domain	외부 HTTP/LLM 서비스	책임 기반 이름·응집도·SSOT·중복 여부를 파일 내용과 소비자 검색으로 점검	timeout·응답 정규화·credential 비소유 경계를 adapter가 담당	오류 노출·타임아웃·재시도·부분 실패·자원 종료·운영 관측 경계를 점검	비밀정보·입력 경계·query 범위·동시성·범용 설정 여부를 점검	현재 코드·문서 일치, compile·unit·contract·OpenAPI·정적 반증 검색으로 검증	fixed	외부 의존을 app.external 한 경계로 이동
